Appendix 12,,,,,,,,,,,,,,,,,,,,,
Change in Productivity and Average Weekly Earnings ,,,,,,,,,,,,,,,,,,,,,
/Percentage Change/,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,2016/ 2017,2017/ 2018,2018/ 2019,2019/ 2020,2020/ 2021,Oct '20/ Dec '20,Oct '21/ Dec '21,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Index of Productivity (Fiscal Year),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
All workers/all industries (Base Year = 1995),,1.8,6.3,7.7,-0.4r,26.2,22.1,33.7,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Non-Energy,,3.5,6.9,27.3,5.5r,35.2,29.5,39.8,,,,,,,,,,,,,
       Food Processing,,29.7,6.0,39.5,13.8,31.6,59.7,11.6,,,,,,,,,,,,,
       Drink and Tobacco,,-13.0,19.2,35.2,-1.6,55.0,6.9,89.2,,,,,,,,,,,,,
"       Textiles, Garments and Footwear",,3.6,2.9,0.5,0.9,-2.1,0.8,-3.1,,,,,,,,,,,,,
"       Printing, Publishing and Paper Converters",,1.1,-20.0,-12.8,-12.2,-13.1,-14.3,-11.9,,,,,,,,,,,,,
       Wood and Related Products,,-10.8,-11.6,-7.8,0.4,5.0,4.8,4.0,,,,,,,,,,,,,
       Chemicals,,4.5,5.4,26.0,13.6,3.5,4.9,2.1,,,,,,,,,,,,,
       Assembly Type & Related Products,,-6.9,-3.9,9.7,15.0,98.7,93.2,143.8,,,,,,,,,,,,,
       Miscellaneous Manufacturing,,3.0,7.6,4.9,0.7,19.4,4.0,18.9,,,,,,,,,,,,,
       Electricity,,-7.6,-4.7,-2.1,6.3,-0.7,-7.6,-10.6,,,,,,,,,,,,,
       Water,,-19.5,-11.4,0.0,3.6,8.3,7.9,2.2,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Petrochemicals,,10.2,3.5,6.3,-10.3,15.5,41.6,28.9,,,,,,,,,,,,,
Exploration and Production of Oil and Natural Gas,,9.8,4.5,-2.1,0.2,-3.9,-10.8,10.7,,,,,,,,,,,,,
Oil Refining,,-5.2,9.8, -90.8 *,-100.0,n/a,n/a,n/a,,,,,,,,,,,,,
Natural Gas Refining,,4.3,-6.8,-7.2,-9.8,-23.1,-29.0,11.4,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Index of Average Weekly Earnings (Fiscal Year),,,,,,,,,,,,,,,,,,,,,
All workers/all industries (Base Year = 1995),"1,000",-1.7,5.2,-19.7,-15.2,0.1,1.2,4.7,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Source: Central Statistical Office,,,,,,,,,,,,,,,,,,,,,
"* Data available for the period October to December only, due to the cessation of operations at the Refinery at the end of October 2018.",,,,,,,,,,,,,,,,,,,,,
n/a - not applicable due to the closure of the Petrotrin Refinery in the 1st quarter of fiscal 2019.,,,,,,,,,,,,,,,,,,,,,
r: Revised,,,,,,,,,,,,,,,,,,,,,
