Year,Total All Ages,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65+
1990,9400,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1991,12400,600,2300,2300,1900,1600,1200,1200,700,400,200,100
1992,11900,500,1800,1900,2000,1700,1600,1100,700,500,100,100
1993,10600,600,1000,1900,1900,1300,1300,1000,900,600,100,100
1994,10700,500,1000,1800,1600,1400,1400,1300,600,700,200,100
1995,12700,1000,1600,1900,2300,1900,1200,1200,900,500,200,100
1996,12200,1100,2000,1300,1700,2100,1400,1700,400,200,100,200
1997,12200,400,1900,1700,2100,1900,1700,1300,800,400,0,100
1998,12600,1000,1600,1600,1700,2000,1700,1200,900,400,100,200
1999,13600,1000,2100,1900,2100,1700,1400,1300,1300,500,100,500
2000,14000,900,2700,2400,2000,700,1300,1200,1600,900,100,100
2001,14500,600,2000,2600,2100,1900,1400,1700,1400,700,200,100
2002,14400,200,2400,2500,1900,1900,1800,1800,1300,500,100,0
2003,14600,700,2100,2100,1700,1700,2000,1400,1700,400,400,100
2004,14700,600,1800,1700,2100,2000,2400,1600,1400,700,400,200
2005,14400,700,1500,2100,1700,1800,1400,2000,1200,900,800,400
2006,15300,800,2200,1900,1900,1800,1700,1900,1700,800,300,300
2007,13400,500,1900,1900,1800,1800,1800,1600,1000,800,200,100
2008,13300,300,1800,2000,2100,1400,1800,1300,1300,700,500,200
2009,14900,400,2000,2600,1400,2000,1800,1300,1900,800,400,300
2010,14700,100,1700,3000,1900,1500,1300,1600,1600,1100,400,500
2011,16300,300,2300,2900,1900,2200,1300,1500,2500,1000,300,300
2012,15600,300,1400,3200,1800,1400,2300,1800,1400,1200,500,200
2013,16500,200,1600,3000,2900,1300,1500,2200,1800,1400,400,200
2014,18400,500,1700,3100,2400,2700,1500,2000,2300,1300,500,300
2015,15400,600,1500,1800,1800,2000,2100,1100,2100,1300,600,400
2016,16200,500,1300,2400,1800,2000,1600,1400,2200,1900,900,300
2017,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2018,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2019,17700,600,700,2500,2900,2700,2400,1800,1600,1500,600,400
2020,19600,400,600,1800,3500,2500,2700,1900,2200,2000,1300,700
2021,17600,500,700,2000,2400,3900,1900,2100,1900,1400,600,400
2022,18000,200,300,1900,1400,3600,2600,2900,2000,1600,800,600
2023,19700,600,1000,1100,1600,2900,2400,3400,2400,2100,1600,700
