Year,Total All Ages,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65+
1998,34300,2700,5200,4100,4500,5000,5200,3300,2200,1200,300,500
1999,33500,2600,5000,4400,3700,5900,4800,2500,2600,1000,400,500
2000,34900,2900,5300,4800,3800,4900,4500,3700,2400,1700,500,200
2001,33200,2500,4500,4500,4400,4900,3900,4000,2200,1400,700,300
2002,35100,2100,4800,5100,4600,4700,4900,3800,2500,1600,900,400
2003,33400,1600,4300,4900,3900,5100,4700,3100,2700,2100,700,400
2004,31900,1000,4400,4300,4400,4500,3900,3800,3000,1700,700,300
2005,33000,1900,5100,5200,4400,3900,3700,3500,3100,1600,300,300
2006,36200,1500,5700,6100,4900,4300,4100,3700,3000,1800,700,200
2007,35800,1700,5100,5300,4600,4400,4000,4200,3300,1600,1100,500
2008,35700,1400,4900,5400,4900,4700,4400,4100,3000,1600,900,500
2009,38800,1200,5100,5800,5100,5100,4200,4800,4000,1900,1300,400
2010,38100,1300,4300,6000,5000,4300,4300,4500,4300,2300,1000,700
2011,40500,800,5200,5800,5300,4700,4300,5100,4100,3100,1000,1200
2012,33600,700,2800,4700,5700,5400,3800,3800,2800,2300,1000,600
2013,36500,800,3300,4700,5300,4900,3900,5500,3600,2600,1600,300
2014,37200,900,4000,5000,5000,4200,4400,5700,3800,2800,700,400
2015,39100,1200,3900,5600,5100,5400,4600,4600,3700,3700,700,700
2016,36300,500,4000,6100,4600,4600,3800,4800,3800,3400,500,400
2017,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2018,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2019,26300,200,1800,2700,4000,3700,3000,2900,3100,3000,900,800
2020,19500,800,1000,2300,2500,3200,2500,1900,2700,800,1400,200
2021,25800,600,2100,2600,3500,4000,3100,3400,3000,1600,1500,500
2022,25300,500,2300,3300,2000,3300,2700,3200,2600,3400,1500,300
2023,29400,1100,1900,3400,3700,6800,4100,2800,1800,2800,1100,200
