Year,Total All Ages,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65+
1990,12700,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1991,10700,600,1400,1800,1600,1600,1100,800,700,400,200,200
1992,12100,500,1500,2100,1500,1400,1400,1100,1000,900,200,300
1993,12100,400,1700,2300,2000,1500,1100,1000,1100,700,200,200
1994,17700,900,2000,2800,3600,2400,1900,1400,1300,800,100,500
1995,28100,1900,4300,3900,3500,3600,3300,2600,2600,1200,700,500
1996,23000,1300,2900,2800,4100,3300,2400,2300,1700,1000,500,500
1997,26700,1500,3400,3700,3900,2800,3400,3300,2000,900,800,800
1998,26300,1200,3400,3300,3700,3000,3500,3000,2000,1700,900,800
1999,25200,1300,3200,3300,3100,3200,3200,2500,2500,1500,800,400
2000,26100,1600,3800,3400,2700,3600,3200,3400,2200,1300,600,400
2001,24900,1000,3500,3300,2700,3500,3100,3200,2300,1300,400,400
2002,24800,800,3100,3600,2500,3600,4300,1800,2600,1800,400,400
2003,23400,500,3400,3100,2800,2700,3800,2300,2400,1800,400,300
2004,25100,500,3600,3500,3500,2700,3000,2200,2600,1700,900,700
2005,25400,1000,3200,3600,3300,3100,2400,2700,2800,2000,800,500
2006,26400,1000,4700,3100,3100,3000,2700,2900,2700,1800,800,500
2007,26700,1100,3400,4100,3600,4100,2400,2500,2500,1500,700,600
2008,25100,700,3000,3800,3300,3100,2800,3400,2400,1400,700,500
2009,24600,500,2700,4100,3100,3500,3000,3200,1900,1600,600,600
2010,27600,200,3500,4100,3500,3000,2700,3500,3200,2100,900,800
2011,26200,300,2400,3600,3900,2700,3200,2900,3300,2100,700,900
2012,24900,600,2500,3300,4400,3100,2700,1600,2500,2600,800,900
2013,27300,300,2400,3700,4900,3700,2600,2500,2600,3200,900,500
2014,25200,500,2500,4100,4100,3200,2800,2100,2600,1800,500,1100
2015,24000,300,2000,3600,3800,3500,3100,2100,2000,1900,900,700
2016,22600,400,1900,2400,4500,3500,2400,2200,2300,1800,800,400
2017,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2018,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2019,17800,500,1700,2100,2900,2600,2000,1900,1100,1700,900,300
2020,14300,200,1800,1200,1300,2000,2000,1700,1000,1300,1400,300
2021,12700,,1100,1400,1100,2100,2000,2100,900,800,900,300
2022,14400,300,1000,1900,2400,2300,1200,2300,1000,1200,500,300
2023,18700,500,1500,2300,3500,2700,2000,1800,2100,1000,1000,400
