Year,Total All Ages,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65+
1990,165900,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1991,181100,12700,26900,30600,27300,23400,17900,15900,12400,7400,3300,3300
1992,184900,11600,27300,30200,28300,24900,22000,14300,12800,7100,3200,3200
1993,186000,11400,26700,28800,30100,25300,21400,16500,10800,8400,3600,3000
1994,184300,11200,27600,26700,32200,23800,20400,17000,12000,7500,3600,2100
1995,187000,10700,28400,28700,28300,24900,21600,17200,12700,8200,3200,3000
1996,196900,11600,29900,27400,28900,26900,24200,18000,14000,8900,3300,2900
1997,197800,12200,29400,25800,28700,26900,24300,19900,16300,8200,3300,2700
1998,207700,12900,29600,27000,31200,28700,28100,18400,14900,9300,4000,3400
1999,210200,12900,31200,27500,27700,29600,27200,18100,18200,10200,3900,3900
2000,210100,15100,30000,26600,27000,29400,25700,20700,17700,10100,4400,3700
2001,215900,12200,31200,29200,28800,27800,27800,22700,17900,10700,3900,3700
2002,220100,12500,31500,28800,26700,26100,29500,25900,19700,11400,4400,3600
2003,223900,13200,34100,32700,24900,26900,25200,24800,20100,12300,6000,3700
2004,222800,12300,33900,32700,26700,25700,25800,22000,20800,13700,6100,3300
2005,229300,11800,36000,33300,26700,24700,27300,23500,22100,13900,6400,3800
2006,225900,10100,36300,31400,25400,24100,26800,23100,22700,15200,6300,4500
2007,217700,10000,32400,33100,25300,23100,24200,23700,20800,14500,6600,4000
2008,223900,9100,30400,32000,28900,25500,25100,24200,22700,15300,6700,3800
2009,208400,8300,26800,30600,26500,24000,24300,23100,20900,14100,6200,3800
2010,202200,6500,25300,32200,26200,21800,22300,21700,20600,16200,5500,4200
2011,198300,4300,20700,31400,26600,24600,20600,22700,20000,15400,7700,4300
2012,207300,5100,21700,31600,30000,23700,21600,21700,22800,18200,6200,4700
2013,218600,4900,22800,31100,30500,25900,24300,24200,23300,18900,7800,5100
2014,221600,5100,22800,33100,32700,27800,22600,22100,22300,18700,8600,5800
2015,219800,5900,20700,30800,31400,25900,25000,24000,23600,19300,8200,4800
2016,233900,5400,21400,29900,36500,30700,25200,21100,26300,20200,10900,6400
2017,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2018,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2019,230700,4500,20600,25800,31000,35600,28300,25000,21100,22300,11000,5400
2020,232000,5200,18100,23900,31300,38400,31500,26400,18100,20700,11400,7300
2021,236500,4800,21500,25400,32700,34700,30300,30000,22400,19800,9100,5900
2022,220700,5000,17800,24100,29300,28800,31100,29300,23300,18200,9100,4600
2023,227000,6500,19700,24100,25900,30800,32500,27300,24000,20100,10200,5800
