Year,Total All Ages,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65+,
1990,19100,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,control
1991,19600,1300,3100,3100,3200,2200,1600,1600,1200,1000,400,300,-600
1992,17900,1300,2200,2200,2600,2900,1400,1700,1100,700,400,500,-900
1993,16300,1000,2600,2600,2500,2000,1500,1800,1300,500,300,200,0
1994,19300,1000,3100,2900,3400,2800,2300,1400,900,900,200,100,-300
1995,19800,1300,3200,2600,3100,2600,2800,1900,1300,500,300,400,200
1996,21300,1300,3300,2300,3500,3100,2700,2300,1500,800,200,100,-200
1997,21800,1800,2900,2700,3900,2900,2500,2100,1500,900,200,300,-100
1998,23800,2200,3600,2700,3300,3500,2800,2200,2100,800,300,200,-100
1999,23200,1600,3700,2900,3100,3000,3200,2000,2200,900,300,400,100
2000,22800,1600,3400,2800,2800,3300,2900,2100,2200,900,500,400,100
2001,24800,1800,3700,3400,3400,3000,3600,1800,2100,1400,400,300,100
2002,25200,1600,3200,3500,3500,3000,3800,2600,1900,1200,400,300,-200
2003,26300,1600,3500,2900,2600,3500,4100,3200,2500,1500,400,500,0
2004,27000,1500,3900,3000,2700,3400,3800,3500,3200,1500,400,300,200
2005,29800,2100,4900,3200,3300,3600,4300,2700,3000,1500,400,700,-100
2006,28700,1700,3900,3700,3100,3100,4700,3600,2000,1600,600,500,-200
2007,28800,1800,4100,3600,3000,3500,4000,3500,2400,1900,700,200,-100
2008,30100,1500,4400,4500,3300,3400,3200,3800,2900,1900,800,200,-200
2009,29100,1000,3700,4500,3500,3900,3200,3600,2700,1800,600,300,-300
2010,29100,1200,3000,4100,4400,3300,3700,3400,2900,1900,600,600,0
2011,32600,1300,3400,4700,4800,4500,3400,4100,3100,2100,800,600,200
2012,30600,700,2900,4800,3900,4000,3100,3400,3600,2600,1100,500,0
2013,33100,700,3500,4700,3800,4000,3500,4000,4200,3100,1000,300,-300
2014,34300,900,4000,5100,4000,4000,3400,4100,4400,2700,1100,600,0
2015,34200,1000,3600,4800,4600,4100,3600,3200,4300,3800,900,400,100
2016,32800,1000,2700,4100,5200,4300,3700,3200,4100,3100,1000,300,-100
2017,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,#VALUE!
2018,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,#VALUE!
2019,32000,500,1800,3400,4800,4300,3500,3200,4600,4100,1400,300,-100
2020,34200,500,2300,3900,4600,5600,4000,4000,3000,4600,1600,300,200
2021,31100,600,2900,3700,4400,4900,3900,3200,3700,2500,1300,200,200
2022,31900,500,3200,3200,3800,5600,3200,3800,3000,3700,1400,700,200
2023,31200,700,2400,2600,3300,5100,3800,4700,3100,3300,1000,900,-300
