Year,Total All Ages,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65+
1990,79900,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1991,83600,7000,13000,13800,12800,10600,7700,6900,4800,2600,2200,2100
1992,86200,6700,12900,14200,12800,11400,9200,7600,4800,3000,2200,1400
1993,86900,7100,13300,12900,14200,10500,9400,7800,5500,3300,1700,1100
1994,81200,5500,11600,13000,13800,11400,8900,6700,4600,2900,1500,1500
1995,73900,5300,10400,11900,12900,11300,7400,5800,4200,2600,1300,1000
1996,77900,7300,11100,10200,12300,11600,8600,6300,5000,2600,1500,1300
1997,78000,6400,12200,9100,11900,10500,9800,6400,5900,2900,1700,1300
1998,77300,6100,12200,10400,10700,10200,9500,6400,5700,3000,2000,1000
1999,79600,7100,12500,11200,9900,11300,9100,6600,5700,3600,1200,1400
2000,80800,6700,13600,10200,8900,12300,8900,8000,5200,3900,1600,1300
2001,80300,6400,13200,10900,9200,11300,9800,7400,5800,3700,1700,1200
2002,82600,6300,12900,10400,9700,10600,11100,8500,6400,4100,1700,800
2003,83700,6200,13600,11900,9300,10000,10500,9600,5500,4600,1500,800
2004,86000,4400,13900,12400,10700,12600,9900,9200,6100,4200,2000,800
2005,89900,4400,14500,13800,10600,10300,11600,8700,7600,5000,2000,1300
2006,92600,4300,14400,14000,12200,9600,12400,9400,8400,5000,1900,1100
2007,89000,3600,12900,12300,10700,12200,11100,10000,8900,4300,2000,900
2008,89900,4100,13200,12100,10300,11100,10700,10500,9500,4200,2800,1200
2009,92100,3800,13300,13200,10100,11800,11100,11100,8700,5100,2800,1000
2010,92300,2900,11300,14000,10900,11600,10400,11200,9200,6900,2600,1300
2011,100600,3000,10800,15100,12700,13200,11700,11800,10200,8200,2500,1400
2012,94600,3200,9500,14700,13600,13000,12300,9800,9200,5600,2400,1100
2013,95000,2300,9500,13900,14200,13000,12600,9800,9600,7000,2300,900
2014,101400,2500,9300,15600,14900,13200,11700,10800,10800,8400,2400,1700
2015,96200,1900,8900,13300,14500,14000,10400,8700,11600,7500,3800,1300
2016,90800,1500,7900,13100,16100,13000,10300,9200,9500,6000,2600,1600
2017,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2018,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2019,92700,2900,7500,11000,13300,12400,11100,10600,10300,8800,3900,1000
2020,85400,1300,7800,10000,13100,13400,10500,9500,10000,6800,2300,700
2021,81400,2300,6300,7500,11700,14500,11700,8400,7600,8700,2000,700
2022,86700,2300,6500,13000,10100,13000,11900,9100,10100,7300,2500,1000
2023,85600,1900,9000,9500,10000,12300,12700,9500,8900,7200,2900,1900
