county,gender,age_group,total
CARONI,Female,25 - 39,19
CARONI,Female,40 - 59,52
CARONI,Female,60 and over,42
CARONI,Male,25 - 39,88
CARONI,Male,40 - 59,243
CARONI,Male,60 and over,235
CARONI,Male,Under 25,1
NARIVA/ MAYARO,Female,25 - 39,5
NARIVA/ MAYARO,Female,40 - 59,11
NARIVA/ MAYARO,Female,60 and over,12
NARIVA/ MAYARO,Male,25 - 39,18
NARIVA/ MAYARO,Male,40 - 59,51
NARIVA/ MAYARO,Male,60 and over,35
NARIVA/ MAYARO,Male,Under 25,3
ST. ANDREW/ ST DAVID,Female,25 - 39,7
ST. ANDREW/ ST DAVID,Female,40 - 59,41
ST. ANDREW/ ST DAVID,Female,60 and over,24
ST. ANDREW/ ST DAVID,Male,25 - 39,50
ST. ANDREW/ ST DAVID,Male,40 - 59,102
ST. ANDREW/ ST DAVID,Male,60 and over,123
ST. ANDREW/ ST DAVID,Male,Under 25,5
ST. GEORGE EAST,Female,25 - 39,5
ST. GEORGE EAST,Female,40 - 59,35
ST. GEORGE EAST,Female,60 and over,51
ST. GEORGE EAST,Male,25 - 39,37
ST. GEORGE EAST,Male,40 - 59,111
ST. GEORGE EAST,Male,60 and over,149
ST. GEORGE EAST,Male,Under 25,2
ST. GEORGE WEST,Female,25 - 39,11
ST. GEORGE WEST,Female,40 - 59,43
ST. GEORGE WEST,Female,60 and over,44
ST. GEORGE WEST,Male,25 - 39,49
ST. GEORGE WEST,Male,40 - 59,162
ST. GEORGE WEST,Male,60 and over,204
ST. GEORGE WEST,Male,Under 25,1
ST. PATRICK EAST,Female,25 - 39,15
ST. PATRICK EAST,Female,40 - 59,38
ST. PATRICK EAST,Female,60 and over,27
ST. PATRICK EAST,Female,Under 25,2
ST. PATRICK EAST,Male,25 - 39,56
ST. PATRICK EAST,Male,40 - 59,184
ST. PATRICK EAST,Male,60 and over,167
ST. PATRICK EAST,Male,Under 25,3
ST. PATRICK WEST,Female,25 - 39,1
ST. PATRICK WEST,Female,40 - 59,5
ST. PATRICK WEST,Female,60 and over,3
ST. PATRICK WEST,Female,Under 25,1
ST. PATRICK WEST,Male,25 - 39,5
ST. PATRICK WEST,Male,40 - 59,13
ST. PATRICK WEST,Male,60 and over,21
VICTORIA,Female,25 - 39,16
VICTORIA,Female,40 - 59,34
VICTORIA,Female,60 and over,24
VICTORIA,Female,Under 25,1
VICTORIA,Male,25 - 39,80
VICTORIA,Male,40 - 59,233
VICTORIA,Male,60 and over,194
VICTORIA,Male,Under 25,2
